DSE      00008770Aracaju                                                                      00014223São Conrado                                                                  00000000                                                                        Rua                                                                                                        00722557A                                                                       R A                                                                     49042163NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Rua                                                                                                        00725058Doze                                                                    R Doze                              (Cj Costa Nova IV)                  49001234NS                                                                                                        
DSE      00008770Aracaju                                                                      00014218Porto D'Antas                                                                00000000                                                                        Rua                                                                                                        00984720Doze                                                                    R Doze                              (Cj Hab Eduardo Dutra)              49067341NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Travessa                                                                                                   00834416Doze                                                                    Tv Doze                             (Cj Pe Pedro)                       49044168NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00722847Doze A                                                                  R Doze A                            (Lot Novo Horizonte)                49043624NS                                                                                                        
DSE      00008770Aracaju                                                                      00014200Dezoito do Forte                                                             00000000                                                                        Rua                                                                                                        00355351Doze de Outubro                                                         R Doze de Outubro                                                       49072210NS                                                                                                        
DSE      00008770Aracaju                                                                      00014223São Conrado                                                                  00000000                                                                        Rua                                                                                                        00355352Dudu Viana                                                              R Dudu Viana                                                            49042640NS                                                                                                        
DSE      00008770Aracaju                                                                      00014214Olaria                                                                       00000000                                                                        Rua                          Irmã                                                                          00355687Dulce                                                                   R Ima Dulce                                                             49092110NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                          Irmã                                                                          00548058Dulce                                                                   R Ima Dulce                                                             49044180NS                                                                                                        
DSE      00008770Aracaju                                                                      00014211Luzia                                                                        00000000                                                                        Avenida                                                                                                    00356024Dulce Diniz                                                             Av Dulce Diniz                                                          49048430NS                                                                                                        
DSE      00008770Aracaju                                                                      00014223São Conrado                                                                  00000000                                                                        Praça                                                                                                      00355353Dulce Menezes Dantas                                                    Pç Dulce M Dantas                                                       49042690NS                                                                                                        
DSE      00008770Aracaju                                                                      00014219Zona de Expansão (Robalo)                                                    00000000                                                                        Rua                                                                                                        00355354Dulcinéia Nunes de Melo                                                 R Dulcinéia N de Melo                                                   49005110NS                                                                                                        
DSE      00008770Aracaju                                                                      00014218Porto D'Antas                                                                00000000                                                                        Rua                          Santos                                                                        00725606Dumont                                                                  R Stos Dumont                                                           49069081NS                                                                                                        
DSE      00008770Aracaju                                                                      00014191Aeroporto                                                                    00000000                                                                        Rua                       das                                                                              00593202Dunas                                                                   R das Dunas                                                             49038360NS                                                                                                        
DSE      00008770Aracaju                                                                      00014205Industrial                                                                   00000000                                                                        Rua                          Sargento                                                                      00356691Duque                                                                   R Srg Duque                                                             49065750NS                                                                                                        
DSE      00008770Aracaju                                                                      00014193Atalaia                                                                      00000000                                                                        Praça                                                                                                      00355357Durval Andrade                                                          Pç Durval Andrade                                                       49037170NS                                                                                                        
DSE      00008770Aracaju                                                                      00014213Novo Paraíso                                                                 00000000                                                                        Rua                          Tenente                                                                       00356784Durval Chaves                                                           R Ten Durval Chaves                                                     49082580NS                                                                                                        
DSE      00008770Aracaju                                                                      00014223São Conrado                                                                  00000000                                                                        Travessa                                                                                                   00722575Durval de Souza Prado                                                   Tv Durval de Souza Prado                                                49042429NS                                                                                                        
DSE      00008770Aracaju                                                                      00014191Aeroporto                                                                    00000000                                                                        Travessa                     Ex-Combatente                                                                 00724426Durval de Souza Prado                                                   Tv Ex-Comb Durval de S Prado                                            49037239NS                                                                                                        
DSE      00008770Aracaju                                                                      00014211Luzia                                                                        00000000                                                                        Rua                                                                                                        00355358Durval Madureira Freire                                                 R Durval M Freire                                                       49048140NS                                                                                                        
DSE      00008770Aracaju                                                                      00014193Atalaia                                                                      00000000                                                                        Rua                                                                                                        00355359Durval Maynard                                                          R Durval Maynard                                                        49037180NS                                                                                                        
DSE      00008770Aracaju                                                                      00014201Farolândia                                                                   00000000                                                                        Rua                          Deputado                                                                      00355212Durval Militão de Araújo                                                R Dep Durval M de Araújo                                                49030780NS                                                                                                        
DSE      00008770Aracaju                                                                      00014200Dezoito do Forte                                                             00000000                                                                        Rua                          Tenente                                                                       00356785Dutra                                                                   R Ten Dutra                                                             49072740NS                                                                                                        
DSE      00008770Aracaju                                                                      00014218Porto D'Antas                                                                00000000                                                                        Rua                                                                                                        00826970D1                                                                      R D1                                                                    49067076NS                                                                                                        
DSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Rua                                                                                                        00725935D1                                                                      R D1                                (Lot Pau Ferro)                     49071087NS                                                                                                        
DSE      00008770Aracaju                                                                      00014194Bugio                                                                        00000000                                                                        Travessa                                                                                                   01002687D1                                                                      Tv D1                               (Lot Joel Nascimento)               49090414NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Rua                                                                                                        00863081D1                                                                      R D1                                (Res Águas Belas)                   49001344NS                                                                                                        
DSE      00008770Aracaju                                                                      00014197Cidade Nova                                                                  00000000                                                                        Rua                                                                                                        00726059D2                                                                      R D2                                (Lot Maracaju II)                   49070790NS                                                                                                        
DSE      00008770Aracaju                                                                      00014218Porto D'Antas                                                                00000000                                                                        Rua                                                                                                        00826972D2                                                                      R D2                                                                    49067083NS                                                                                                        
DSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Rua                                                                                                        00725850E                                                                       R E                                 (Lot Indara)                        49071241NS                                                                                                        
DSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Rua                                                                                                        00725945E                                                                       R E                                 (Lot Pau Ferro II)                  49071060NS                                                                                                        
DSE      00008770Aracaju                                                                      00014212Zona de Expansão (Mosqueiro)                                                 00000000                                                                        Rua                                                                                                        00727522E                                                                       R E                                 (Lot Rec Andorinhas)                49008483NS                                                                                                        
DSE      00008770Aracaju                                                                      00014212Zona de Expansão (Mosqueiro)                                                 00000000                                                                        Rua                                                                                                        00727562E                                                                       R E                                 (Lot S Domingos)                    49008646NS                                                                                                        
DSE      00008770Aracaju                                                                      00066492Dom Luciano                                                                  00000000                                                                        Rua                                                                                                        00725936E                                                                       R E                                 (Lot Pau Ferro)                     49071090NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Rua                                                                                                        00725199E                                                                       R E                                 (Res Pto Mar I)                     49001135NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Rua                                                                                                        00725217E                                                                       R E                                 (Lot El Dourado)                    49001057NS                                                                                                        
DSE      00008770Aracaju                                                                      00014219Zona de Expansão (Robalo)                                                    00000000                                                                        Rua                                                                                                        00727184E                                                                       R E                                 (Lot Beira-Mar)                     49004424NS                                                                                                        
DSE      00008770Aracaju                                                                      00014221Santo Antônio                                                                00000000                                                                        Travessa                                                                                                   00725431E                                                                       Tv E                                (Lot S Sebastião)                   49061058NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Rua                                                                                                        00723210E                                                                       R E                                 (Lot P do Sul)                      49044424NS                                                                                                        
DSE      00008770Aracaju                                                                      00014226Soledade                                                                     00000000                                                                        Rua                                                                                                        00726645E                                                                       R E                                 (Jd Bahia)                          49089252NS                                                                                                        
DSE      00008770Aracaju                                                                      00014197Cidade Nova                                                                  00000000                                                                        Rua                                                                                                        00726061E                                                                       R E                                 (Lot Vsc de Maracaju II)            49070793NS                                                                                                        
DSE      00008770Aracaju                                                                      00014191Aeroporto                                                                    00000000                                                                        Rua                                                                                                        00724505E                                                                       R E                                 (Lot Sta Clara)                     49037696NS                                                                                                        
DSE      00008770Aracaju                                                                      00014191Aeroporto                                                                    00000000                                                                        Rua                                                                                                        00724520E                                                                       R E                                 (Lot JC Barros)                     49037870NS                                                                                                        
DSE      00008770Aracaju                                                                      00014197Cidade Nova                                                                  00000000                                                                        Rua                                                                                                        00726074E                                                                       R E                                 (Lot At Bela Vista)                 49070832NS                                                                                                        
DSE      00008770Aracaju                                                                      00014194Bugio                                                                        00000000                                                                        Rua                                                                                                        00826763E                                                                       R E                                 (Cj Bugio III)                      49090556NS                                                                                                        
DSE      00008770Aracaju                                                                      00014212Zona de Expansão (Mosqueiro)                                                 00000000                                                                        Rua                                                                                                        00834325E                                                                       R E                                 (Lot Prca da Praia)                 49008060NS                                                                                                        
DSE      00008770Aracaju                                                                      00014205Industrial                                                                   00000000                                                                        Rua                                                                                                        00826689E                                                                       R E                                 (Lot Morada Rio Doce)               49066233NS                                                                                                        
DSE      00008770Aracaju                                                                      00014210Lamarão                                                                      00000000                                                                        Rua                                                                                                        00826864E                                                                       R E                                 (Jd Lamarão)                        49088416NS                                                                                                        
DSE      00008770Aracaju                                                                      00014197Cidade Nova                                                                  00000000                                                                        Rua                                                                                                        00827227E                                                                       R E                                 (Cond Vsc de Maracajú)              49070859NS                                                                                                        
DSE      00008770Aracaju                                                                      00014214Olaria                                                                       00000000                                                                        Travessa                                                                                                   00834492E                                                                       Tv E                                (Lot Nova Liberdade I)              49092673NS                                                                                                        
DSE      00008770Aracaju                                                                      00014205Industrial                                                                   00000000                                                                        Rua                                                                                                        00834466E                                                                       R E                                 (Cj Dq de Caxias)                   49065375NS                                                                                                        
DSE      00008770Aracaju                                                                      00014200Dezoito do Forte                                                             00000000                                                                        Rua                                                                                                        00803925E                                                                       R E                                 (Lot Cel dos Anjos)                 49072029NS                                                                                                        
DSE      00008770Aracaju                                                                      00014201Farolândia                                                                   00000000                                                                        Rua                                                                                                        00819426E                                                                       R E                                 (Lot Aningas)                       49031419NS                                                                                                        
DSE      00008770Aracaju                                                                      00014195Capucho                                                                      00000000                                                                        Rua                                                                                                        00790125E                                                                       R E                                 (Veneza II)                         49081105NS                                                                                                        
DSE      00008770Aracaju                                                                      00030722Zona de Expansão (Areia Branca)                                              00000000                                                                        Rua                                                                                                        00876623E                                                                       R E                                 (Lot Sta Rita)                      49007406NS                                                                                                        
DSE      00008770Aracaju                                                                      00014212Zona de Expansão (Mosqueiro)                                                 00000000                                                                        Rua                                                                                                        00921999E                                                                       R E                                 (Lot Jd Sta Clara)                  49008805NS                                                                                                        
DSE      00008770Aracaju                                                                      00014212Zona de Expansão (Mosqueiro)                                                 00000000                                                                        Rua                                                                                                        00899751E                                                                       R E                                 (Lot RGA)                           49008271NS                                                                                                        
DSE      00008770Aracaju                                                                      00014218Porto D'Antas                                                                00000000                                                                        Rua                                                                                                        00881567E                                                                       R E                                 (Cj Cleonaldo S Araújo)             49069225NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Rua                                                                                                        00863080E                                                                       R E                                 (Cj Horto Carvalho II)              49001341NS                                                                                                        
DSE      00008770Aracaju                                                                      00014226Soledade                                                                     00000000                                                                        Travessa                                                                                                   00871563E                                                                       Tv E                                (Inv Sta Catarina)                  49089115NS                                                                                                        
DSE      00008770Aracaju                                                                      00014194Bugio                                                                        00000000                                                                        Rua                                                                                                        00860184E                                                                       R E                                 (Lot Joel Nascimento)               49090407NS                                                                                                        
DSE      00008770Aracaju                                                                      00014226Soledade                                                                     00000000                                                                        Travessa                                                                                                   00997907E                                                                       Tv E                                (Lot Rosa do Sol)                   49089418NS                                                                                                        
DSE      00008770Aracaju                                                                      00014218Porto D'Antas                                                                00000000                                                                        Rua                                                                                                        00984258E                                                                       R E                                 (Lot At da Jaqueira)                49067185NS                                                                                                        
DSE      00008770Aracaju                                                                      00014218Porto D'Antas                                                                00000000                                                                        Rua                                                                                                        00725530E                                                                       R E                                 (Lot Copacabana)                    49067238NS                                                                                                        
DSE      00008770Aracaju                                                                      00014226Soledade                                                                     00000000                                                                        Rua                                                                                                        00726819E                                                                       R E                                 (Lot Mte Belo)                      49089362NS                                                                                                        
DSE      00008770Aracaju                                                                      00014226Soledade                                                                     00000000                                                                        Rua                                                                                                        00726833E                                                                       R E                                 (Lot Rosa do Sol)                   49089398NS                                                                                                        
DSE      00008770Aracaju                                                                      00014226Soledade                                                                     00000000                                                                        Rua                                                                                                        00726847E                                                                       R E                                 (Lot Isabel Martins)                49089432NS                                                                                                        
DSE      00008770Aracaju                                                                      00014219Zona de Expansão (Robalo)                                                    00000000                                                                        Rua                                                                                                        00727682E                                                                       R E                                 (Rec das Águas)                     49004799NS                                                                                                        
DSE      00008770Aracaju                                                                      00030722Zona de Expansão (Areia Branca)                                              00000000                                                                        Rua                                                                                                        00727091E                                                                       R E                                 (Lot Sta Maria)                     49007018NS                                                                                                        
DSE      00008770Aracaju                                                                      00030722Zona de Expansão (Areia Branca)                                              00000000                                                                        Rua                                                                                                        00727214E                                                                       R E                                 (Lot Zenza)                         49007304NS                                                                                                        
DSE      00008770Aracaju                                                                      00030722Zona de Expansão (Areia Branca)                                              00000000                                                                        Rua                                                                                                        00727227E                                                                       R E                                 (Lot Beira Rio II)                  49007205NS                                                                                                        
DSE      00008770Aracaju                                                                      00014212Zona de Expansão (Mosqueiro)                                                 00000000                                                                        Rua                                                                                                        00727306E                                                                       R E                                 (Lot Pr do Mosqueiro)               49008045NS                                                                                                        
